,user_id,rating
30943,30944,200
12873,12874,200
52035,52036,199
12380,12381,199
28157,28158,199
45553,45554,197
6629,6630,197
15603,15604,196
37833,37834,196
19728,19729,196
14371,14372,196
9667,9668,196
24142,24143,196
9805,9806,196
7562,7563,196
33064,33065,195
10508,10509,195
25839,25840,195
38797,38798,195
9730,9731,195
26717,26718,194
10287,10288,194
17565,17566,194
53292,53293,194
32744,32745,194
50998,50999,193
2486,2487,193
3738,3739,193
8166,8167,193
28766,28767,193
32747,32748,193
43601,43602,193
39702,39703,193
23602,23603,193
32304,32305,193
25163,25164,193
24498,24499,193
26144,26145,193
26628,26629,193
49287,49288,193
12470,12471,192
49294,49295,192
49296,49297,192
49288,49289,192
48686,48687,192
6341,6342,192
53291,53292,192
14247,14248,191
38474,38475,191
5644,5645,191
29818,29819,191
48481,48482,191
23302,23303,191
15493,15494,191
8509,8510,191
30680,30681,190
46481,46482,190
11691,11692,190
21732,21733,190
15644,15645,190
9245,9246,190
32054,32055,190
17642,17643,190
48439,48440,190
13990,13991,190
10401,10402,190
1184,1185,190
2899,2900,190
8483,8484,190
11926,11927,190
12945,12946,190
9010,9011,190
21712,21713,190
42573,42574,190
30183,30184,190
10248,10249,190
11284,11285,190
29950,29951,190
13775,13776,190
50132,50133,189
27933,27934,189
10334,10335,189
6697,6698,189
42507,42508,189
14191,14192,189
1951,1952,189
24833,24834,189
42809,42810,189
32922,32923,189
25277,25278,189
25181,25182,189
11944,11945,189
10145,10146,189
47475,47476,189
7000,7001,189
40125,40126,189
14602,14603,189
50103,50104,189
16568,16569,188
3921,3922,188
33696,33697,188
5460,5461,188
37283,37284,188
38081,38082,188
29702,29703,188
21675,21676,188
43621,43622,188
950,951,188
10139,10140,188
19525,19526,188
27498,27499,188
10609,10610,188
47799,47800,188
53244,53245,188
2323,2324,188
5114,5115,187
18360,18361,187
13793,13794,187
19723,19724,187
9124,9125,187
10110,10111,187
46138,46139,187
17433,17434,187
51459,51460,187
21227,21228,187
10750,10751,187
46976,46977,187
1168,1169,187
30312,30313,187
47410,47411,187
19941,19942,187
38864,38865,187
30232,30233,187
24325,24326,187
42403,42404,187
23611,23612,187
11998,11999,187
50100,50101,187
44396,44397,187
587,588,186
11690,11691,186
15546,15547,186
17662,17663,186
33715,33716,186
5271,5272,186
8369,8370,186
18099,18100,186
10943,10944,186
47477,47478,186
49297,49298,186
14545,14546,186
11271,11272,186
30282,30283,186
16912,16913,186
22163,22164,186
27833,27834,186
21486,21487,186
51165,51166,186
13033,13034,186
22601,22602,186
50095,50096,185
51837,51838,185
6062,6063,185
5435,5436,185
47729,47730,185
46420,46421,185
20466,20467,185
5884,5885,185
24844,24845,185
45492,45493,185
20781,20782,185
46471,46472,185
21216,21217,185
18797,18798,185
33871,33872,185
48558,48559,185
36098,36099,185
18030,18031,185
3086,3087,185
3661,3662,185
2275,2276,185
11568,11569,185
30793,30794,184
13543,13544,184
18312,18313,184
23575,23576,184
8709,8710,184
11867,11868,184
35145,35146,184
36694,36695,184
16376,16377,184
14384,14385,184
34687,34688,184
12475,12476,184
26578,26579,184
43984,43985,184
13281,13282,184
13273,13274,184
11444,11445,184
8339,8340,184
11407,11408,184
33889,33890,184
20405,20406,184
28823,28824,184
45268,45269,184
32337,32338,184
26052,26053,184
2170,2171,184
29122,29123,184
32634,32635,184
13406,13407,184
41073,41074,184
32917,32918,184
37745,37746,184
4535,4536,184
51479,51480,184
17983,17984,184
4605,4606,184
20966,20967,184
44242,44243,183
