,user_id,rating_x,rating_y
0,1,3.58974358974359,117
1,2,4.415384615384616,65
2,3,1.7362637362637363,91
3,4,3.7686567164179103,134
4,5,4.04,100
5,6,4.322222222222222,90
6,7,3.8193548387096774,155
7,8,3.5714285714285716,98
8,9,3.446969696969697,132
9,10,3.75,128
10,11,3.591666666666667,120
11,12,3.8672566371681416,113
12,13,4.197916666666667,96
13,14,3.509259259259259,108
14,15,4.319587628865979,97
15,16,3.735294117647059,68
16,17,4.016393442622951,61
17,18,3.4220183486238533,109
18,19,3.4201680672268906,119
19,20,4.211111111111111,90
20,21,3.3114754098360657,61
21,22,3.625,120
22,23,3.3307086614173227,127
23,24,3.71875,128
24,25,4.016666666666667,60
25,26,3.9902912621359223,103
26,27,3.87603305785124,121
27,28,4.008333333333334,120
28,29,4.244897959183674,98
29,30,4.163043478260869,92
30,31,3.5041322314049586,121
31,32,3.983739837398374,123
32,33,4.444444444444445,99
33,34,3.792079207920792,101
34,35,3.1136363636363638,176
35,36,3.676470588235294,136
36,37,4.308641975308642,81
37,38,3.5081967213114753,61
38,39,3.4945054945054945,91
39,40,3.8449612403100777,129
40,41,4.295302013422819,149
41,42,3.7962962962962963,54
42,43,3.5825242718446604,103
43,44,3.86046511627907,129
44,45,3.9555555555555557,45
45,46,4.100840336134453,119
46,47,3.819548872180451,133
47,48,3.7125,80
48,49,3.4135338345864663,133
49,50,4.09433962264151,106
50,51,4.017241379310345,116
51,52,3.7017543859649122,114
52,53,2.816326530612245,49
53,54,3.7107438016528924,121
54,55,3.6929133858267718,127
55,56,3.8526315789473684,95
56,57,3.504424778761062,113
57,58,3.7439024390243905,82
58,59,3.5,66
59,60,3.7459016393442623,122
60,61,3.712230215827338,139
61,62,3.709090909090909,110
62,63,3.442857142857143,70
63,64,3.955056179775281,89
64,65,4.229357798165138,109
65,66,3.2,70
66,67,3.7115384615384617,104
67,68,2.980392156862745,51
68,69,4.1098901098901095,91
69,70,3.6507936507936507,63
70,71,3.683673469387755,98
71,72,3.9174311926605503,109
72,73,4.114285714285714,105
